strain	year	lineage	date	country
S1922_2014	2014	4.2	2014-XX-XX	Moldova
S1924_2014	2014	4.2	2014-XX-XX	Moldova
S1928_2014	2014	4.2	2014-XX-XX	Moldova
S1931_2014	2014	4.1	2013-XX-XX	Moldova
S19527_2013	2013	4.3	2013-XX-XX	Moldova
S19769_2013	2013	4.2	2013-XX-XX	Moldova
S20123_2013	2013	4.1	2013-XX-XX	Moldova
S20146_2013	2013	2.2	2013-XX-XX	Moldova
S20371_2013	2013	4.2	2013-XX-XX	Moldova
S20589_2013	2013	4.2	2013-XX-XX	Moldova
S20612_2013	2013	4.1	2013-XX-XX	Moldova
S20843_2013	2013	2.2	2013-XX-XX	Moldova
S20850_2013	2013	4.2	2013-XX-XX	Moldova
S21093_2013	2013	4.3	2013-XX-XX	Moldova
S21096_2013	2013	4.3	2013-XX-XX	Moldova
S21100_2013	2013	4.3	2013-XX-XX	Moldova
S21113_2013	2013	4.8	2013-XX-XX	Moldova
S21287_2013	2013	2.2	2013-XX-XX	Moldova
S21306_2013	2013	4.2	2013-XX-XX	Moldova
S21315_2013	2013	4.8	2013-XX-XX	Moldova
S21608_2013	2013	4.2	2013-XX-XX	Moldova
S21797_2013	2013	2.2	2013-XX-XX	Moldova
S21804_2013	2013	4.2	2013-XX-XX	Moldova
S21805_2013	2013	4.8	2013-XX-XX	Moldova
S21812_2013	2013	4.8	2013-XX-XX	Moldova
S22069_2013	2013	4.2	2013-XX-XX	Moldova
S22076_2013	2013	4.2	2013-XX-XX	Moldova
S2222_2014	2014	4.3	2013-XX-XX	Moldova
S22276_2013	2013	2.2	2013-XX-XX	Moldova
S22280_2013	2013	2.2	2013-XX-XX	Moldova
S22519_2013	2013	2.2	2013-XX-XX	Moldova
S22548_2013	2013	2.2	2013-XX-XX	Moldova
S22549_2013	2013	4.3	2013-XX-XX	Moldova
S22554_2013	2013	2.2	2013-XX-XX	Moldova
S22799_2013	2013	4.8	2013-XX-XX	Moldova
S22801_2013	2013	4.3	2013-XX-XX	Moldova
S22813_2013	2013	2.2	2013-XX-XX	Moldova
S23107_2013	2013	4.2	2013-XX-XX	Moldova
S23108_2013	2013	4.2	2013-XX-XX	Moldova
S23338_2013	2013	4.8	2013-XX-XX	Moldova
S23342_2013	2013	4.1	2013-XX-XX	Moldova
S23346_2013	2013	2.2	2013-XX-XX	Moldova
S23632_2013	2013	4.8	2013-XX-XX	Moldova
S2563_2014	2014	4.2	2014-XX-XX	Moldova
S2566_2014	2014	4.2	2014-XX-XX	Moldova
S2572_2014	2014	4.8	2014-XX-XX	Moldova
S2573_2014	2014	4.2	2014-XX-XX	Moldova
S2577_2014	2014	4.2	2014-XX-XX	Moldova
S2834_2014	2014	4.3	2014-XX-XX	Moldova
S2836_2014	2014	2.2	2014-XX-XX	Moldova
S2837_2014	2014	4.2	2014-XX-XX	Moldova
S2851_2014	2014	2.2	2014-XX-XX	Moldova
S2858_2014	2014	2.2	2014-XX-XX	Moldova
S3170_2014	2014	2.2	2014-XX-XX	Moldova
S3438_2014	2014	2.2	2014-XX-XX	Moldova
S3444_2014	2014	4.2	2014-XX-XX	Moldova
S3445_2014	2014	4.2	2014-XX-XX	Moldova
S3453_2014	2014	4.2	2014-XX-XX	Moldova
S3462_2014	2014	4.2	2014-XX-XX	Moldova
S3465_2014	2014	4.2	2014-XX-XX	Moldova
S3689_2014	2014	2.2	2014-XX-XX	Moldova
S3693_2014	2014	2.2	2014-XX-XX	Moldova
S3694_2014	2014	4.2	2014-XX-XX	Moldova
S3706_2014	2014	4.2	2014-XX-XX	Moldova
S3709_2014	2014	4.2	2014-XX-XX	Moldova
S3710_2014	2014	4.2	2014-XX-XX	Moldova
S3711_2014	2014	4.2	2014-XX-XX	Moldova
S3714_2014	2014	4.2	2014-XX-XX	Moldova
S3715_2014	2014	4.3	2014-XX-XX	Moldova
S4051_2014	2014	4.2	2014-XX-XX	Moldova
S4057_2014	2014	4.2	2014-XX-XX	Moldova
S4059_2014	2014	2.2	2014-XX-XX	Moldova
S4385_2014	2014	4.2	2014-XX-XX	Moldova
S4404_2014	2014	4.2	2014-XX-XX	Moldova
S4407_2014	2014	4.2	2014-XX-XX	Moldova
S4411_2014	2014	4.1	2014-XX-XX	Moldova
S4638_2014	2014	4.2	2014-XX-XX	Moldova
S4640_2014	2014	4.8	2014-XX-XX	Moldova
S4646_2014	2014	4.3	2014-XX-XX	Moldova
S4651_2014	2014	4.2	2014-XX-XX	Moldova
S4656_2014	2014	2.2	2014-XX-XX	Moldova
S4661_2014	2014	2.2	2014-XX-XX	Moldova
S479_2014	2014	4.8	2014-XX-XX	Moldova
S480_2014	2014	2.2	2014-XX-XX	Moldova
S481_2014	2014	4.8	2014-XX-XX	Moldova
S488_2014	2014	4.2	2014-XX-XX	Moldova
S4900_2014	2014	4.2	2014-XX-XX	Moldova
S4901_2014	2014	2.2	2014-XX-XX	Moldova
S4904_2014	2014	4.2	2014-XX-XX	Moldova
